julian_date,x,y,z,vx,vy,vz
2451546,-1.0836146560863148e+08,-1.0082808873221263e+07,2.2942793752383357e+06,2.0524152141961080e+05,-2.7607730756087857e+06,-1.2549710639942058e+06
2451547,-1.0811378452287742e+08,-1.2839383945949771e+07,1.0385110965728825e+06,2.9008164079536870e+05,-2.7520141930393581e+06,-1.2563997712915747e+06
2451548,-1.0778139162458986e+08,-1.5586113094189726e+07,-2.1818872409436107e+05,3.7465387897008489e+05,-2.7410828739591688e+06,-1.2568341760243110e+06
2451549,-1.0736458853744759e+08,-1.8320829116748966e+07,-1.4748260040480625e+06,4.5889081294836395e+05,-2.7279898818211989e+06,-1.2562748535461382e+06
2451550,-1.0686374411284092e+08,-2.1041376451656550e+07,-2.7304076422818108e+06,5.4272541968051472e+05,-2.7127477288845098e+06,-1.2547231912863192e+06
2451551,-1.0627929400192282e+08,-2.3745612916523207e+07,-3.9839423295463212e+06,6.2609113193642802e+05,-2.6953706590698729e+06,-1.2521813845726906e+06
2451552,-1.0561174017219231e+08,-2.6431411431004569e+07,-5.2344413538562264e+06,7.0892189335837564e+05,-2.6758746293162238e+06,-1.2486524317282743e+06
2451553,-1.0486165036945695e+08,-2.9096661719887882e+07,-6.4809194007364381e+06,7.9115221264257072e+05,-2.6542772894771299e+06,-1.2441401284559262e+06
2451554,-1.0402965752606757e+08,-3.1739271995358065e+07,-7.7223953475017855e+06,8.7271721680339379e+05,-2.6305979607911864e+06,-1.2386490615233607e+06
2451555,-1.0311645911637193e+08,-3.4357170617049322e+07,-8.9578930508830193e+06,9.5355270346624381e+05,-2.6048576129892622e+06,-1.2321846017734404e+06
2451556,-1.0212281646037437e+08,-3.6948307728527002e+07,-1.0186442127326950e+07,1.0335951921531972e+06,-2.5770788400545251e+06,-1.2247528964646249e+06
2451557,-1.0104955397663388e+08,-3.9510656868884042e+07,-1.1407078725313500e+07,1.1127819745153068e+06,-2.5472858347003497e+06,-1.2163608609679532e+06
2451558,-9.9897558385471806e+07,-4.2042216558190025e+07,-1.2618846289054126e+07,1.1910511634740019e+06,-2.5155043616043818e+06,-1.2070161698353998e+06
2451559,-9.8667777863599524e+07,-4.4541011855571322e+07,-1.3820796312951811e+07,1.2683417412342909e+06,-2.4817617294445457e+06,-1.1967272472578383e+06
2451560,-9.7361221151311055e+07,-4.7005095888748035e+07,-1.5011989086221822e+07,1.3445936061356806e+06,-2.4460867617846075e+06,-1.1855032569318831e+06
2451561,-9.5978956613419414e+07,-4.9432551353901155e+07,-1.6191494427091882e+07,1.4197476183091211e+06,-2.4085097668570774e+06,-1.1733540913550921e+06
2451562,-9.4522111255145207e+07,-5.1821491984791331e+07,-1.7358392406019919e+07,1.4937456441107010e+06,-2.3690625062913899e+06,-1.1602903605692536e+06
2451563,-9.2991869694194496e+07,-5.4170063990098409e+07,-1.8511774057387438e+07,1.5665305993052116e+06,-2.3277781628354536e+06,-1.1463233803716844e+06
2451564,-9.1389473090288401e+07,-5.6476447457999371e+07,-1.9650742079146605e+07,1.6380464909751089e+06,-2.2846913071188312e+06,-1.1314651600147057e+06
2451565,-8.9716218033430398e+07,-5.8738857727050394e+07,-2.0774411519919347e+07,1.7082384581328114e+06,-2.2398378635059539e+06,-1.1157283894136753e+06
2451566,-8.7973455392217949e+07,-6.0955546722487383e+07,-2.1881910453067373e+07,1.7770528110166541e+06,-2.1932550750879520e+06,-1.0991264258841856e+06
2451567,-8.6162589123523548e+07,-6.3124804257107958e+07,-2.2972380637272637e+07,1.8444370690532597e+06,-2.1449814678618116e+06,-1.0816732804292582e+06
2451568,-8.4285075044886649e+07,-6.5244959295946583e+07,-2.4044978163188726e+07,1.9103399974714553e+06,-2.0950568141457727e+06,-1.0633836035975807e+06
2451569,-8.2342419570970997e+07,-6.7314381184003323e+07,-2.5098874085744761e+07,1.9747116425550506e+06,-2.0435220952780787e+06,-1.0442726709332030e+06
2451570,-8.0336178415456057e+07,-6.9331480836329430e+07,-2.6133255041701645e+07,2.0375033655205027e+06,-1.9904194636414519e+06,-1.0243563680348602e+06
2451571,-7.8267955259737462e+07,-7.1294711889828041e+07,-2.7147323852085069e+07,2.0986678750205608e+06,-1.9357922040751693e+06,-1.0036511752528050e+06
2451572,-7.6139400389819875e+07,-7.3202571816170484e+07,-2.8140300109137863e+07,2.1581592582535869e+06,-1.8796846947025002e+06,-9.8217415203439631e+05
