julian_date,x,y,z,vx,vy,vz
2451546,-1.4779440466454737e+09,-4.1861423642629709e+09,-8.6106685458594167e+08,4.5391520732083096e+05,-1.6965036655762512e+05,-1.8970490953805819e+05
2451547,-1.4774901235127234e+09,-4.1863119921765933e+09,-8.6125655487708974e+08,4.5393105729028332e+05,-1.6960546060588042e+05,-1.8969567246463525e+05
2451548,-1.4770361845326717e+09,-4.1864815751840196e+09,-8.6144624593028426e+08,4.5394690192415583e+05,-1.6956055416487923e+05,-1.8968643363093885e+05
2451549,-1.4765822297106538e+09,-4.1866511132847605e+09,-8.6163592774376500e+08,4.5396274122247630e+05,-1.6951564723549550e+05,-1.8967719303724662e+05
2451550,-1.4761282590520053e+09,-4.1868206064783282e+09,-8.6182560031577218e+08,4.5397857518527331e+05,-1.6947073981860315e+05,-1.8966795068383618e+05
2451551,-1.4756742725620618e+09,-4.1869900547642355e+09,-8.6201526364454615e+08,4.5399440381257510e+05,-1.6942583191507601e+05,-1.8965870657098526e+05
2451552,-1.4752202702461586e+09,-4.1871594581419964e+09,-8.6220491772832775e+08,4.5401022710441035e+05,-1.6938092352578801e+05,-1.8964946069897158e+05
2451553,-1.4747662521096313e+09,-4.1873288166111255e+09,-8.6239456256535780e+08,4.5402604506080766e+05,-1.6933601465161284e+05,-1.8964021306807289e+05
2451554,-1.4743122181578155e+09,-4.1874981301711383e+09,-8.6258419815387774e+08,4.5404185768179601e+05,-1.6929110529342436e+05,-1.8963096367856703e+05
2451555,-1.4738581683960462e+09,-4.1876673988215513e+09,-8.6277382449212885e+08,4.5405766496740439e+05,-1.6924619545209626e+05,-1.8962171253073181e+05
2451556,-1.4734041028296590e+09,-4.1878366225618815e+09,-8.6296344157835317e+08,4.5407346691766207e+05,-1.6920128512850223e+05,-1.8961245962484510e+05
2451557,-1.4729500214639893e+09,-4.1880058013916478e+09,-8.6315304941079259e+08,4.5408926353259827e+05,-1.6915637432351601e+05,-1.8960320496118482e+05
2451558,-1.4724959243043723e+09,-4.1881749353103685e+09,-8.6334264798768961e+08,4.5410505481224268e+05,-1.6911146303801110e+05,-1.8959394854002888e+05
2451559,-1.4720418113561432e+09,-4.1883440243175640e+09,-8.6353223730728698e+08,4.5412084075662494e+05,-1.6906655127286128e+05,-1.8958469036165538e+05
2451560,-1.4715876826246374e+09,-4.1885130684127545e+09,-8.6372181736782730e+08,4.5413662136577477e+05,-1.6902163902893994e+05,-1.8957543042634221e+05
2451561,-1.4711335381151900e+09,-4.1886820675954623e+09,-8.6391138816755402e+08,4.5415239663972228e+05,-1.6897672630712073e+05,-1.8956616873436753e+05
2451562,-1.4706793778331363e+09,-4.1888510218652101e+09,-8.6410094970471060e+08,4.5416816657849762e+05,-1.6893181310827719e+05,-1.8955690528600928e+05
2451563,-1.4702252017838116e+09,-4.1890199312215204e+09,-8.6429050197754073e+08,4.5418393118213105e+05,-1.6888689943328264e+05,-1.8954764008154577e+05
2451564,-1.4697710099725506e+09,-4.1891887956639180e+09,-8.6448004498428845e+08,4.5419969045065314e+05,-1.6884198528301064e+05,-1.8953837312125505e+05
2451565,-1.4693168024046886e+09,-4.1893576151919284e+09,-8.6466957872319806e+08,4.5421544438409433e+05,-1.6879707065833453e+05,-1.8952910440541533e+05
2451566,-1.4688625790855606e+09,-4.1895263898050771e+09,-8.6485910319251418e+08,4.5423119298248558e+05,-1.6875215556012769e+05,-1.8951983393430492e+05
2451567,-1.4684083400205019e+09,-4.1896951195028911e+09,-8.6504861839048159e+08,4.5424693624585780e+05,-1.6870723998926344e+05,-1.8951056170820195e+05
2451568,-1.4679540852148473e+09,-4.1898638042848983e+09,-8.6523812431534564e+08,4.5426267417424207e+05,-1.6866232394661516e+05,-1.8950128772738483e+05
2451569,-1.4674998146739316e+09,-4.1900324441506267e+09,-8.6542762096535158e+08,4.5427840676766966e+05,-1.6861740743305653e+05,-1.8949201199213197e+05
2451570,-1.4670455284030900e+09,-4.1902010390996070e+09,-8.6561710833874524e+08,4.5429413402617164e+05,-1.6857249044946040e+05,-1.8948273450272164e+05
2451571,-1.4665912264076576e+09,-4.1903695891313691e+09,-8.6580658643377244e+08,4.5430985594977956e+05,-1.6852757299669928e+05,-1.8947345525943211e+05
2451572,-1.4661369086929688e+09,-4.1905380942454443e+09,-8.6599605524867952e+08,4.5432557253852522e+05,-1.6848265507564653e+05,-1.8946417426254190e+05
2451573,-1.4656825752643588e+09,-4.1907065544413648e+09,-8.6618551478171313e+08,4.5434128379244049e+05,-1.6843773668717532e+05,-1.8945489151232943e+05
2451574,-1.4652282261271622e+09,-4.1908749697186632e+09,-8.6637496503111982e+08,4.5435698971155722e+05,-1.6839281783215879e+05,-1.8944560700907334e+05
2451575,-1.4647738612867138e+09,-4.1910433400768738e+09,-8.6656440599514699e+08,4.5437269029590779e+05,-1.6834789851147006e+05,-1.8943632075305210e+05
2451576,-1.4643194807483487e+09,-4.1912116655155315e+09,-8.6675383767204177e+08,4.5438838554552448e+05,-1.6830297872598231e+05,-1.8942703274454433e+05
2451577,-1.4638650845174012e+09,-4.1913799460341711e+09,-8.6694326006005204e+08,4.5440407546043966e+05,-1.6825805847656840e+05,-1.8941774298382868e+05
2451578,-1.4634106725992060e+09,-4.1915481816323299e+09,-8.6713267315742552e+08,4.5441976004068588e+05,-1.6821313776410144e+05,-1.8940845147118374e+05
2451579,-1.4629562449990978e+09,-4.1917163723095455e+09,-8.6732207696241045e+08,4.5443543928629591e+05,-1.6816821658945427e+05,-1.8939915820688830e+05
2451580,-1.4625018017224116e+09,-4.1918845180653553e+09,-8.6751147147325552e+08,4.5445111319730262e+05,-1.6812329495349978e+05,-1.8938986319122088e+05
2451581,-1.4620473427744815e+09,-4.1920526188992987e+09,-8.6770085668820918e+08,4.5446678177373915e+05,-1.6807837285711078e+05,-1.8938056642446041e+05
2451582,-1.4615928681606424e+09,-4.1922206748109164e+09,-8.6789023260552073e+08,4.5448244501563848e+05,-1.6803345030116008e+05,-1.8937126790688557e+05
2451583,-1.4611383778862283e+09,-4.1923886857997484e+09,-8.6807959922343946e+08,4.5449810292303411e+05,-1.6798852728652034e+05,-1.8936196763877524e+05
2451584,-1.4606838719565744e+09,-4.1925566518653369e+09,-8.6826895654021490e+08,4.5451375549595925e+05,-1.6794360381406426e+05,-1.8935266562040814e+05
2451585,-1.4602293503770146e+09,-4.1927245730072241e+09,-8.6845830455409694e+08,4.5452940273444756e+05,-1.6789867988466454e+05,-1.8934336185206322e+05
2451586,-1.4597748131528835e+09,-4.1928924492249541e+09,-8.6864764326333582e+08,4.5454504463853274e+05,-1.6785375549919362e+05,-1.8933405633401929e+05
2451587,-1.4593202602895157e+09,-4.1930602805180707e+09,-8.6883697266618192e+08,4.5456068120824895e+05,-1.6780883065852406e+05,-1.8932474906655541e+05
2451588,-1.4588656917922451e+09,-4.1932280668861198e+09,-8.6902629276088583e+08,4.5457631244362978e+05,-1.6776390536352835e+05,-1.8931544004995044e+05
2451589,-1.4584111076664066e+09,-4.1933958083286467e+09,-8.6921560354569876e+08,4.5459193834470975e+05,-1.6771897961507898e+05,-1.8930612928448341e+05
2451590,-1.4579565079173338e+09,-4.1935635048451991e+09,-8.6940490501887202e+08,4.5460755891152297e+05,-1.6767405341404822e+05,-1.8929681677043327e+05
2451591,-1.4575018925503616e+09,-4.1937311564353242e+09,-8.6959419717865694e+08,4.5462317414410401e+05,-1.6762912676130838e+05,-1.8928750250807908e+05
2451592,-1.4570472615708237e+09,-4.1938987630985713e+09,-8.6978348002330542e+08,4.5463878404248733e+05,-1.6758419965773181e+05,-1.8927818649770002e+05
2451593,-1.4565926149840546e+09,-4.1940663248344898e+09,-8.6997275355106974e+08,4.5465438860670762e+05,-1.6753927210419066e+05,-1.8926886873957506e+05
2451594,-1.4561379527953885e+09,-4.1942338416426301e+09,-8.7016201776020217e+08,4.5466998783679993e+05,-1.6749434410155719e+05,-1.8925954923398339e+05
2451595,-1.4556832750101590e+09,-4.1944013135225434e+09,-8.7035127264895535e+08,4.5468558173279918e+05,-1.6744941565070348e+05,-1.8925022798120423e+05
2451596,-1.4552285816337008e+09,-4.1945687404737821e+09,-8.7054051821558225e+08,4.5470117029474059e+05,-1.6740448675250154e+05,-1.8924090498151671e+05
2451597,-1.4547738726713476e+09,-4.1947361224958997e+09,-8.7072975445833611e+08,4.5471675352265930e+05,-1.6735955740782348e+05,-1.8923158023520012e+05
2451598,-1.4543191481284335e+09,-4.1949034595884495e+09,-8.7091898137547052e+08,4.5473233141659090e+05,-1.6731462761754123e+05,-1.8922225374253365e+05
2451599,-1.4538644080102923e+09,-4.1950707517509866e+09,-8.7110819896523917e+08,4.5474790397657111e+05,-1.6726969738252671e+05,-1.8921292550379664e+05
2451600,-1.4534096523222582e+09,-4.1952379989830666e+09,-8.7129740722589612e+08,4.5476347120263544e+05,-1.6722476670365178e+05,-1.8920359551926833e+05
2451601,-1.4529548810696652e+09,-4.1954052012842460e+09,-8.7148660615569580e+08,4.5477903309481987e+05,-1.6717983558178705e+05,-1.8919426378922811e+05
2451602,-1.4525000942578466e+09,-4.1955723586540828e+09,-8.7167579575289285e+08,4.5479458965316095e+05,-1.6713490401780343e+05,-1.8918493031395512e+05
2451603,-1.4520452918921368e+09,-4.1957394710921345e+09,-8.7186497601574206e+08,4.5481014087769494e+05,-1.6708997201257339e+05,-1.8917559509372906e+05
2451604,-1.4515904739778693e+09,-4.1959065385979609e+09,-8.7205414694249868e+08,4.5482568676845805e+05,-1.6704503956696819e+05,-1.8916625812882918e+05
2451605,-1.4511356405203779e+09,-4.1960735611711221e+09,-8.7224330853141832e+08,4.5484122732548713e+05,-1.6700010668185909e+05,-1.8915691941953506e+05
2451606,-1.4506807915249963e+09,-4.1962405388111787e+09,-8.7243246078075647e+08,4.5485676254881889e+05,-1.6695517335811723e+05,-1.8914757896612614e+05
2451607,-1.4502259269970582e+09,-4.1964074715176926e+09,-8.7262160368876922e+08,4.5487229243849049e+05,-1.6691023959661377e+05,-1.8913823676888199e+05
2451608,-1.4497710469418972e+09,-4.1965743592902260e+09,-8.7281073725371301e+08,4.5488781699453865e+05,-1.6686530539821967e+05,-1.8912889282808211e+05
2451609,-1.4493161513648469e+09,-4.1967412021283436e+09,-8.7299986147384429e+08,4.5490333621700108e+05,-1.6682037076380599e+05,-1.8911954714400612e+05
2451610,-1.4488612402712409e+09,-4.1969080000316086e+09,-8.7318897634741998e+08,4.5491885010591534e+05,-1.6677543569424361e+05,-1.8911019971693374e+05
2451611,-1.4484063136664128e+09,-4.1970747529995871e+09,-8.7337808187269723e+08,4.5493435866131861e+05,-1.6673050019040340e+05,-1.8910085054714457e+05
2451612,-1.4479513715556960e+09,-4.1972414610318451e+09,-8.7356717804793346e+08,4.5494986188324925e+05,-1.6668556425315610e+05,-1.8909149963491823e+05
2451613,-1.4474964139444242e+09,-4.1974081241279492e+09,-8.7375626487138641e+08,4.5496535977174522e+05,-1.6664062788337260e+05,-1.8908214698053457e+05
2451614,-1.4470414408379304e+09,-4.1975747422874680e+09,-8.7394534234131396e+08,4.5498085232684441e+05,-1.6659569108192346e+05,-1.8907279258427324e+05
2451615,-1.4465864522415483e+09,-4.1977413155099697e+09,-8.7413441045597446e+08,4.5499633954858535e+05,-1.6655075384967928e+05,-1.8906343644641418e+05
2451616,-1.4461314481606109e+09,-4.1979078437950239e+09,-8.7432346921362638e+08,4.5501182143700664e+05,-1.6650581618751073e+05,-1.8905407856723710e+05
2451617,-1.4456764286004519e+09,-4.1980743271422014e+09,-8.7451251861252856e+08,4.5502729799214686e+05,-1.6646087809628816e+05,-1.8904471894702193e+05
2451618,-1.4452213935664043e+09,-4.1982407655510740e+09,-8.7470155865094018e+08,4.5504276921404497e+05,-1.6641593957688214e+05,-1.8903535758604854e+05
2451619,-1.4447663430638015e+09,-4.1984071590212131e+09,-8.7489058932712042e+08,4.5505823510273994e+05,-1.6637100063016298e+05,-1.8902599448459689e+05
2451620,-1.4443112770979767e+09,-4.1985735075521922e+09,-8.7507961063932931e+08,4.5507369565827108e+05,-1.6632606125700095e+05,-1.8901662964294691e+05
2451621,-1.4438561956742628e+09,-4.1987398111435852e+09,-8.7526862258582640e+08,4.5508915088067780e+05,-1.6628112145826637e+05,-1.8900726306137862e+05
2451622,-1.4434010987979929e+09,-4.1989060697949672e+09,-8.7545762516487217e+08,4.5510460076999961e+05,-1.6623618123482945e+05,-1.8899789474017208e+05
2451623,-1.4429459864745004e+09,-4.1990722835059133e+09,-8.7564661837472701e+08,4.5512004532627622e+05,-1.6619124058756020e+05,-1.8898852467960739e+05
2451624,-1.4424908587091181e+09,-4.1992384522760010e+09,-8.7583560221365166e+08,4.5513548454954760e+05,-1.6614629951732879e+05,-1.8897915287996450e+05
2451625,-1.4420357155071790e+09,-4.1994045761048074e+09,-8.7602457667990732e+08,4.5515091843985382e+05,-1.6610135802500520e+05,-1.8896977934152365e+05
