julian_date,x,y,z,vx,vy,vz
2451546,2.0707037258794069e+08,1.8791221691113431e+06,-4.7222561705743130e+06,7.8405191660835844e+04,2.0654051453200933e+06,9.4524694940929546e+05
2451547,2.0713735783505857e+08,3.9443656750469077e+06,-3.7767746112357508e+06,5.5568498708280713e+04,2.0650441564707097e+06,9.4569878635105526e+05
2451548,2.0718151649699518e+08,6.0091351596372817e+06,-2.8308933329159971e+06,3.2752540097375415e+04,2.0644572017810948e+06,9.4604641882188478e+05
2451549,2.0720287086158678e+08,8.0732049615045553e+06,-1.8847164424424258e+06,9.9604198867614050e+03,2.0636448971687097e+06,9.4629004539555067e+05
2451550,2.0720144631179753e+08,1.0136350056089200e+07,-9.3834783824050776e+05,-1.2804775864816806e+04,2.0626079002747994e+06,9.4642988427001191e+05
2451551,2.0717727130730695e+08,1.2198346097137038e+07,8.1088091929017100e+03,-3.5539979921315797e+04,2.0613469099881325e+06,9.4646617307122413e+05
2451552,2.0713037736528233e+08,1.4258969457702219e+07,9.5455007661635743e+05,-5.8242144676279626e+04,2.0598626659534376e+06,9.4639916864949767e+05
2451553,2.0706079904035252e+08,1.6317997270651225e+07,1.9008728071633312e+06,-8.0908242943422127e+04,2.0581559480650311e+06,9.4622914686861984e+05
2451554,2.0696857390379941e+08,1.8375207468653273e+07,2.8469741292473199e+06,-1.0353526873053901e+05,2.0562275759461308e+06,9.4595640238796466e+05
2451555,2.0685374252198398e+08,2.0430378823643111e+07,3.7927514752456434e+06,-1.2612023799640281e+05,2.0540784084143678e+06,9.4558124843780650e+05
2451556,2.0671634843402410e+08,2.2483290985742610e+07,4.7381025999552654e+06,-1.4866018939031285e+05,2.0517093429339966e+06,9.4510401658807392e+05
2451557,2.0655643812874144e+08,2.4533724521628179e+07,5.6829255988141643e+06,-1.7115218497399281e+05,2.0491213150553438e+06,9.4452505651076301e+05
2451558,2.0637406102089575e+08,2.6581460952331398e+07,6.6271189258820638e+06,-1.9359331092554721e+05,2.0463152978419939e+06,9.4384473573625146e+05
2451559,2.0616926942672399e+08,2.8626282790460989e+07,7.5705814115745099e+06,-2.1598067822520851e+05,2.0432923012862634e+06,9.4306343940374162e+05
2451560,2.0594211853880298e+08,3.0667973576834597e+07,8.5132122801445648e+06,-2.3831142332262546e+05,2.0400533717134781e+06,9.4218157000607601e+05
2451561,2.0569266640025416e+08,3.2706317916509457e+07,9.4549111669066008e+06,-2.6058270878546452e+05,2.0365995911756000e+06,9.4119954712916107e+05
2451562,2.0542097387830910e+08,3.4741101514201634e+07,1.0395578135196915e+07,-2.8279172392911417e+05,2.0329320768347369e+06,9.4011780718624080e+05
2451563,2.0512710463725498e+08,3.6772111209083885e+07,1.1335113693066154e+07,-3.0493568542730383e+05,2.0290519803370733e+06,9.3893680314726499e+05
2451564,2.0481112511077878e+08,3.8799135008952938e+07,1.2273418809698742e+07,-3.2701183790346730e+05,2.0249604871777652e+06,9.3765700426359032e+05
2451565,2.0447310447373009e+08,4.0821962123757333e+07,1.3210394931554804e+07,-3.4901745450270240e+05,2.0206588160573395e+06,9.3627889578826725e+05
2451566,2.0411311461332160e+08,4.2840382998477623e+07,1.4145943998230230e+07,-3.7094983744419663e+05,2.0161482182301329e+06,9.3480297869214567e+05
2451567,2.0373123009978697e+08,4.4854189345351398e+07,1.5079968458030896e+07,-3.9280631855401146e+05,2.0114299768453219e+06,9.3322976937605476e+05
2451568,2.0332752815651566e+08,4.6863174175435595e+07,1.6012371283257183e+07,-4.1458425977813528e+05,2.0065054062810596e+06,9.3155979937929206e+05
2451569,2.0290208862968564e+08,4.8867131829500481e+07,1.6943055985195510e+07,-4.3628105367337604e+05,2.0013758514737557e+06,9.2979361508551787e+05
2451570,2.0245499395741171e+08,5.0865858008247130e+07,1.7871926628812607e+07,-4.5789412388991605e+05,1.9960426872331062e+06,9.2793177742054360e+05
2451571,2.0198632913842598e+08,5.2859149801842473e+07,1.8798887847149134e+07,-4.7942092561195081e+05,1.9905073175699017e+06,9.2597486155777052e+05
2451572,2.0149618170032728e+08,5.4846805718776293e+07,1.9723844855415225e+07,-5.0085894599530083e+05,1.9847711750018848e+06,9.2392345661065611e+05
2451573,2.0098464166739756e+08,5.6828625714020103e+07,2.0646703464776285e+07,-5.2220570458484063e+05,1.9788357198593810e+06,9.2177816532523395e+05
2451574,2.0045180152801514e+08,5.8804411216492742e+07,2.1567370095831923e+07,-5.4345875370690797e+05,1.9727024395905752e+06,9.1953960377233254e+05
2451575,1.9989775620168498e+08,6.0773965155829117e+07,2.2485751791785739e+07,-5.6461567884232348e+05,1.9663728480626165e+06,9.1720840103719395e+05
2451576,1.9932260300570577e+08,6.2737091988448277e+07,2.3401756231303621e+07,-5.8567409898010117e+05,1.9598484848593143e+06,9.1478519890689955e+05
2451577,1.9872644162149298e+08,6.4693597722917750e+07,2.4315291741058532e+07,-6.0663166695190943e+05,1.9531309145761777e+06,9.1227065155597788e+05
2451578,1.9810937406057692e+08,6.6643289944611922e+07,2.5226267307960134e+07,-6.2748606974735227e+05,1.9462217261134544e+06,9.0966542523054767e+05
2451579,1.9747150463029510e+08,6.8585977839662716e+07,2.6134592591067947e+07,-6.4823502881012834e+05,1.9391225319678322e+06,9.0697019793130830e+05
2451580,1.9681293989919806e+08,7.0521472218201548e+07,2.7040177933187082e+07,-6.6887630031513062e+05,1.9318349675233734e+06,9.0418565909567836e+05
2451581,1.9613378866218749e+08,7.2449585536892042e+07,2.7942934372145746e+07,-6.8940767542655754e+05,1.9243606903422545e+06,9.0131250927934924e+05
2451582,1.9543416190540579e+08,7.4370131920753613e+07,2.8842773651754159e+07,-7.0982698053710489e+05,1.9167013794558195e+06,8.9835145983750490e+05
2451583,1.9471417277089587e+08,7.6282927184276536e+07,2.9739608232444603e+07,-7.3013207748832647e+05,1.9088587346564350e+06,8.9530323260593484e+05
2451584,1.9397393652104974e+08,7.8187788851829350e+07,3.0633351301592622e+07,-7.5032086377225723e+05,1.9008344757906019e+06,8.9216855958225555e+05
2451585,1.9321357050286528e+08,8.0084536177360222e+07,3.1523916783519566e+07,-7.7039127271441079e+05,1.8926303420537491e+06,8.8894818260743388e+05
2451586,1.9243319411202866e+08,8.1972990163394198e+07,3.2411219349176910e+07,-7.9034127363828034e+05,1.8842480912871119e+06,8.8564285304779944e+05
2451587,1.9163292875684199e+08,8.3852973579328358e+07,3.3295174425512884e+07,-8.1016887201149203e+05,1.8756894992770709e+06,8.8225333147771063e+05
2451588,1.9081289782201359e+08,8.5724310979027852e+07,3.4175698204522185e+07,-8.2987210957378394e+05,1.8669563590573198e+06,8.7878038736304524e+05
2451589,1.8997322663232940e+08,8.7586828717725635e+07,3.5052707651979610e+07,-8.4944906444701005e+05,1.8580504802142011e+06,8.7522479874566244e+05
2451590,1.8911404241622329e+08,8.9440354968229145e+07,3.5926120515858762e+07,-8.6889785122739570e+05,1.8489736881955427e+06,8.7158735192899138e+05
2451591,1.8823547426926386e+08,9.1284719736437857e+07,3.6795855334436931e+07,-8.8821662106030213e+05,1.8397278236233192e+06,8.6786884116488742e+05
2451592,1.8733765311757505e+08,9.3119754876175448e+07,3.7661831444087513e+07,-9.0740356169779703e+05,1.8303147416104509e+06,8.6407006834190502e+05
2451593,1.8642071168120772e+08,9.4945294103340939e+07,3.8523968986761503e+07,-9.2645689753935661e+05,1.8207363110820504e+06,8.6019184267512872e+05
2451594,1.8548478443747884e+08,9.6761173009383589e+07,3.9382188917159647e+07,-9.4537488965607178e+05,1.8109944141014272e+06,8.5623498039771186e+05
2451595,1.8453000758429441e+08,9.8567229074106082e+07,4.0236413009597071e+07,-9.6415583579876821e+05,1.8010909452011574e+06,8.5220030445427634e+05
2451596,1.8355651900347221e+08,1.0036330167780161e+08,4.1086563864562213e+07,-9.8279807039049850e+05,1.7910278107195403e+06,8.4808864419632812e+05
2451597,1.8256445822407967e+08,1.0214923211273016e+08,4.1932564914972395e+07,-1.0012999645039102e+06,1.7808069281427562e+06,8.4390083507986460e+05
2451598,1.8155396638580173e+08,1.0392486359394003e+08,4.2774340432128064e+07,-1.0196599258240454e+06,1.7704302254530606e+06,8.3963771836534305e+05
2451599,1.8052518620235279e+08,1.0569004126944059e+08,4.3611815531368300e+07,-1.0378763985971801e+06,1.7598996404833652e+06,8.3530014082020847e+05
2451600,1.7947826192494670e+08,1.0744461222973306e+08,4.4444916177430183e+07,-1.0559478635663667e+06,1.7492171202785624e+06,8.3088895442418370e+05
2451601,1.7841333930583918e+08,1.0918842551670641e+08,4.5273569189515136e+07,-1.0738728378864143e+06,1.7383846204654069e+06,8.2640501607813023e+05
2451602,1.7733056556197152e+08,1.1092133213190769e+08,4.6097702246065743e+07,-1.0916498750203170e+06,1.7274041046283753e+06,8.2184918731487251e+05
2451603,1.7623008933870092e+08,1.1264318504418775e+08,4.6917243889253192e+07,-1.1092775646500520e+06,1.7162775436894712e+06,8.1722233401195961e+05
2451604,1.7511206067365000e+08,1.1435383919673561e+08,4.7732123529181339e+07,-1.1267545325425370e+06,1.7050069153017437e+06,8.1252532611018058e+05
2451605,1.7397663096068603e+08,1.1605315151350747e+08,4.8542271447809696e+07,-1.1440794404180695e+06,1.6935942032471686e+06,8.0775903733372083e+05
2451606,1.7282395291404000e+08,1.1774098090505853e+08,4.9347618802598439e+07,-1.1612509858034584e+06,1.6820413968433570e+06,8.0292434491404938e+05
2451607,1.7165418053257862e+08,1.1941718827378526e+08,5.0148097629879147e+07,-1.1782679018729499e+06,1.6703504903585338e+06,7.9802212931727280e+05
2451608,1.7046746906424132e+08,1.2108163651858707e+08,5.0943640847954512e+07,-1.1951289572773010e+06,1.6585234824349617e+06,7.9305327397504519e+05
2451609,1.6926397497065413e+08,1.2273419053895564e+08,5.1734182259930916e+07,-1.2118329559613471e+06,1.6465623755209851e+06,7.8801866501911974e+05
2451610,1.6804385589193135e+08,1.2437471723850070e+08,5.2519656556287333e+07,-1.2283787369704149e+06,1.6344691753118448e+06,7.8291919101962447e+05
2451611,1.6680727061167651e+08,1.2600308552792096e+08,5.3299999317184433e+07,-1.2447651742459279e+06,1.6222458901994070e+06,7.7775574272713636e+05
2451612,1.6555437902219266e+08,1.2761916632742947e+08,5.4075147014517650e+07,-1.2609911764105598e+06,1.6098945307309476e+06,7.7252921281862410e+05
2451613,1.6428534208991295e+08,1.2922283256864218e+08,5.4845037013718203e+07,-1.2770556865432770e+06,1.5974171090771102e+06,7.6724049564732879e+05
2451614,1.6300032182106078e+08,1.3081395919593915e+08,5.5609607575305976e+07,-1.2929576819446278e+06,1.5848156385091522e+06,7.6189048699664080e+05
2451615,1.6169948122754955e+08,1.3239242316730770e+08,5.6368797856198289e+07,-1.3086961738926198e+06,1.5720921328855897e+06,7.5648008383803233e+05
2451616,1.6038298429313105e+08,1.3395810345467700e+08,5.7122547910778642e+07,-1.3242702073895354e+06,1.5592486061483254e+06,7.5101018409309303e+05
2451617,1.5905099593980142e+08,1.3551088104375342e+08,5.7870798691729598e+07,-1.3396788609000321e+06,1.5462870718283504e+06,7.4548168639972794e+05
2451618,1.5770368199447325e+08,1.3705063893336651e+08,5.8613492050633930e+07,-1.3549212460808679e+06,1.5332095425610940e+06,7.3989548988254508e+05
2451619,1.5634120915592194e+08,1.3857726213433522e+08,5.9350570738348290e+07,-1.3699965075025952e+06,1.5200180296114844e+06,7.3425249392748892e+05
2451620,1.5496374496201426e+08,1.4009063766786394e+08,6.0081978405153647e+07,-1.3849038223635638e+06,1.5067145424087814e+06,7.2855359796074044e+05
2451621,1.5357145775722674e+08,1.4159065456347826e+08,6.0807659600686744e+07,-1.3996424001965662e+06,1.4933010880912258e+06,7.2279970123192563e+05
2451622,1.5216451666046068e+08,1.4307720385651061e+08,6.1527559773656987e+07,-1.4142114825684647e+06,1.4797796710605442e+06,7.1699170260165376e+05
2451623,1.5074309153316125e+08,1.4455017858514482e+08,6.2241625271352962e+07,-1.4286103427731232e+06,1.4661522925463424e+06,7.1113050033340731e+05
2451624,1.4930735294774655e+08,1.4600947378703064e+08,6.2949803338943139e+07,-1.4428382855179808e+06,1.4524209501804071e+06,7.0521699188980914e+05
2451625,1.4785747215635327e+08,1.4745498649547693e+08,6.3652042118574888e+07,-1.4568946466045768e+06,1.4385876375809351e+06,6.9925207373327517e+05
2451626,1.4639362105990487e+08,1.4888661573523444e+08,6.4348290648276530e+07,-1.4707787926033647e+06,1.4246543439466869e+06,6.9323664113106672e+05
2451627,1.4491597217750737e+08,1.5030426251787764e+08,6.5038498860666461e+07,-1.4844901205231091e+06,1.4106230536610726e+06,6.8717158796475432e+05
2451628,1.4342469861617857e+08,1.5170782983679548e+08,6.5722617581474081e+07,-1.4980280574751983e+06,1.3964957459061600e+06,6.8105780654408911e+05
2451629,1.4191997404091522e+08,1.5309722266180113e+08,6.6400598527876720e+07,-1.5113920603331553e+06,1.3822743942865802e+06,6.7489618742528954e+05
2451630,1.4040197264510304e+08,1.5447234793337074e+08,6.7072394306657121e+07,-1.5245816153876665e+06,1.3679609664633207e+06,6.6868761923373968e+05
2451631,1.3887086912127388e+08,1.5583311455652073e+08,6.7737958412185758e+07,-1.5375962379974115e+06,1.3535574237973639e+06,6.6243298849108955e+05
2451632,1.3732683863221371e+08,1.5717943339433366e+08,6.8397245224232480e+07,-1.5504354722359872e+06,1.3390657210031415e+06,6.5613317944675183e+05
2451633,1.3577005678242609e+08,1.5851121726114252e+08,6.9050210005611897e+07,-1.5630988905352643e+06,1.3244878058117793e+06,6.4978907391379483e+05
2451634,1.3420069958995329e+08,1.5982838091538319e+08,6.9696808899666756e+07,-1.5755860933254412e+06,1.3098256186440440e+06,6.4340155110919790e+05
2451635,1.3261894345855945e+08,1.6113084105212435e+08,7.0336998927593827e+07,-1.5878967086718821e+06,1.2950810922929777e+06,6.3697148749845440e+05
2451636,1.3102496515027809e+08,1.6241851629528537e+08,7.0970737985616490e+07,-1.6000303919093562e+06,1.2802561516161445e+06,6.3049975664452172e+05
2451637,1.2941894175832659e+08,1.6369132718955073e+08,7.1597984842008501e+07,-1.6119868252736789e+06,1.2653527132374011e+06,6.2398722906106862e+05
2451638,1.2780105068039033e+08,1.6494919619199115e+08,7.2218699133973107e+07,-1.6237657175311139e+06,1.2503726852581652e+06,6.1743477207001764e+05
2451639,1.2617146959227844e+08,1.6619204766340092e+08,7.2832841364381820e+07,-1.6353668036057805e+06,1.2353179669780864e+06,6.1084324966334330e+05
2451640,1.2453037642195280e+08,1.6741980785936004e+08,7.3440372898377210e+07,-1.6467898442053087e+06,1.2201904486250326e+06,6.0421352236910001e+05
2451641,1.2287794932393254e+08,1.6863240492103159e+08,7.4041255959843621e+07,-1.6580346254449899e+06,1.2049920110943166e+06,5.9754644712164591e+05
2451642,1.2121436665407474e+08,1.6982976886570236e+08,7.4635453627750456e+07,-1.6691009584706633e+06,1.1897245256970720e+06,5.9084287713602942e+05
2451643,1.1953980694473284e+08,1.7101183157707682e+08,7.5222929832371697e+07,-1.6799886790805615e+06,1.1743898539176865e+06,5.8410366178650153e+05
2451644,1.1785444888029380e+08,1.7217852679533267e+08,7.5803649351386085e+07,-1.6906976473463560e+06,1.1589898471801968e+06,5.7732964648911927e+05
