julian_date,x,y,z,vx,vy,vz
2451546,2.0707037315266284e+08,1.8791215024919491e+06,-4.7222558632044327e+06,7.8405197241026341e+04,2.0654051392016914e+06,9.4524696343117708e+05
2451547,2.0713735840535778e+08,3.9443650023418833e+06,-3.7767742898511006e+06,5.5568504282072121e+04,2.0650441504179386e+06,9.4569880035845656e+05
2451548,2.0718151707286471e+08,6.0091344809125308e+06,-2.8308929975318252e+06,3.2752545664145302e+04,2.0644571957945034e+06,9.4604643281327398e+05
2451549,2.0720287144301930e+08,8.0732042768265260e+06,-1.8847160930755059e+06,9.9604254458909163e+03,2.0636448912488364e+06,9.4629005936940224e+05
2451550,2.0720144689878514e+08,1.0136349365524879e+07,-9.3834747490913887e+05,-1.2804770313942774e+04,2.0626078944221726e+06,9.4642989822480583e+05
2451551,2.0717727189984104e+08,1.2198345400753928e+07,8.1091864689048380e+03,-3.5539974379308478e+04,2.0613469042032696e+06,9.4646618700544687e+05
2451552,2.0713037796335372e+08,1.4258968755568340e+07,9.5455046781566972e+05,-5.8242139143746273e+04,2.0598626602368455e+06,9.4639918256164261e+05
2451553,2.0706079964395148e+08,1.6317996562835097e+07,1.9008732122631241e+06,-8.0908237420965917e+04,2.0581559424172060e+06,9.4622916075718717e+05
2451554,2.0696857451291555e+08,1.8375206755223908e+07,2.8469745482232682e+06,-1.0353526321875898e+05,2.0562275703675589e+06,9.4595641625146149e+05
2451555,2.0685374313660631e+08,2.0430378104669996e+07,3.7927519080719352e+06,-1.2612023249589380e+05,2.0540784029055226e+06,9.4558126227474760e+05
2451556,2.0671634905414104e+08,2.2483290261295710e+07,4.7381030466046035e+06,-1.4866018390166544e+05,2.0517093374953435e+06,9.4510403039698163e+05
2451557,2.0655643875434086e+08,2.4533723791777909e+07,5.6829260592577830e+06,-1.7115217949779326e+05,2.0491213096873355e+06,9.4452507029016805e+05
2451558,2.0637406165196490e+08,2.6581460217148628e+07,6.6271194000897259e+06,-1.9359330546237750e+05,2.0463152925450734e+06,9.4384474948469212e+05
2451559,2.0616927006324956e+08,2.8626282050017025e+07,7.5705818995145243e+06,-2.1598067277564591e+05,2.0432922960608632e+06,9.4306345311976515e+05
2451560,2.0594211918077105e+08,3.0667972831201166e+07,8.5132127817837931e+06,-2.3831141788724292e+05,2.0400533665600186e+06,9.4218158368823794e+05
2451561,2.0569266704765028e+08,3.2706317165758710e+07,9.4549116822104603e+06,-2.6058270336483017e+05,2.0365995860944928e+06,9.4119956077602622e+05
2451562,2.0542097453111827e+08,3.4741100758406118e+07,1.0395578664129397e+07,-2.8279171852379135e+05,2.0329320718263816e+06,9.4011782079638296e+05
2451563,2.0512710529546160e+08,3.6772110448316559e+07,1.1335114235589826e+07,-3.0493568003785110e+05,2.0290519754018586e+06,9.3893681671926717e+05
2451564,2.0481112577436668e+08,3.8799134243287131e+07,1.2273419365774760e+07,-3.2701183253043803e+05,2.0249604823160693e+06,9.3765701779604598e+05
2451565,2.0447310514268258e+08,4.0821961353266731e+07,1.3210395501142923e+07,-3.4901744914664503e+05,2.0206588112695296e+06,9.3627890927977883e+05
2451566,2.0411311528762144e+08,4.2840382223236315e+07,1.4145944581288809e+07,-3.7094983210565476e+05,2.0161482135165667e+06,9.3480299214132619e+05
2451567,2.0373123077941632e+08,4.4854188565433778e+07,1.5079969054516915e+07,-3.9280631323352340e+05,2.0114299722063439e+06,9.3322978278152668e+05
2451568,2.0332752884145626e+08,4.6863173390916437e+07,1.6012371893126249e+07,-4.1458425447623455e+05,2.0065054017170067e+06,9.3155981273968914e+05
2451569,2.0290208931991869e+08,4.8867131040454865e+07,1.6943056608401872e+07,-4.3628104839060595e+05,2.0013758469849546e+06,9.2979362839948572e+05
2451570,2.0245499465291774e+08,5.0865857214750469e+07,1.7871927265309162e+07,-4.5789411862678925e+05,1.9960426828198689e+06,9.2793179068673612e+05
2451571,2.0198632983918509e+08,5.2859149003970489e+07,1.8798888496887438e+07,-4.7942092036897113e+05,1.9905073132325297e+06,9.2597487477485300e+05
2451572,2.0149618240631908e+08,5.4846804916604988e+07,1.9723845518345505e+07,-5.0085894077297888e+05,1.9847711707406712e+06,9.2392346977730573e+05
2451573,2.0098464237860116e+08,5.6828624907625780e+07,2.0646704140847452e+07,-5.2220569938368641e+05,1.9788357156746082e+06,9.2177817844013916e+05
2451574,2.0045180224440911e+08,5.8804410405951977e+07,2.1567370784991581e+07,-5.4345874852742627e+05,1.9727024354825157e+06,9.1953961683419370e+05
2451575,1.9989775692324737e+08,6.0773964341218770e+07,2.2485752493980199e+07,-5.6461567368501273e+05,1.9663728440315295e+06,9.1720841404472315e+05
2451576,1.9932260373241419e+08,6.2737091169845432e+07,2.3401756946477909e+07,-5.8567409384545253e+05,1.9598484809054506e+06,9.1478521185882017e+05
2451577,1.9872644235332453e+08,6.4693596900399745e+07,2.4315292469156411e+07,-6.0663166184040764e+05,1.9531309106997757e+06,9.1227066445102589e+05
2451578,1.9810937479750818e+08,6.6643289118256345e+07,2.5226268048924100e+07,-6.2748606465947640e+05,1.9462217223147431e+06,9.0966543806747044e+05
2451579,1.9747150537230223e+08,6.8585977009547368e+07,2.6134593344839260e+07,-6.4823502374635125e+05,1.9391225282470293e+06,9.0697021070886625e+05
2451580,1.9681294064625672e+08,7.0521471384404436e+07,2.7040178699705757e+07,-6.6887629527592100e+05,1.9318349638806866e+06,9.0418567181264365e+05
2451581,1.9613378941427287e+08,7.2449584699491382e+07,2.7942935151350580e+07,-6.8940767041237827e+05,1.9243606867778813e+06,9.0131252193450718e+05
2451582,1.9543416266249266e+08,7.4370131079827815e+07,2.8842774443582747e+07,-7.0982697554841428e+05,1.9167013759699464e+06,8.9835147242965305e+05
2451583,1.9471417353295848e+08,7.6282926339904189e+07,2.9739609036833338e+07,-7.3013207252557774e+05,1.9088587312492391e+06,8.9530324513388413e+05
2451584,1.9397393728806195e+08,7.8187788004089206e+07,3.0633352118476715e+07,-7.5032085883589776e+05,1.9008344724622497e+06,8.9216857204482984e+05
2451585,1.9321357127480045e+08,8.0084535326331228e+07,3.1523917612833060e+07,-7.7039126780488261e+05,1.8926303388043982e+06,8.8894819500347064e+05
2451586,1.9243319488885978e+08,8.1972989309155405e+07,3.2411220190852694e+07,-7.9034126875601942e+05,1.8842480881169087e+06,8.8564286537614884e+05
2451587,1.9163292953854156e+08,8.3852972721958995e+07,3.3295175279482704e+07,-8.1016886715692829e+05,1.8756894961861523e+06,8.8225334373723692e+05
2451588,1.9081289860855368e+08,8.5724310118607268e+07,3.4175699070716649e+07,-8.2987210474734218e+05,1.8669563560458133e+06,8.7878039955262572e+05
2451589,1.8997322742368171e+08,8.7586827854333296e+07,3.5052708530328222e+07,-8.4944905964910891e+05,1.8580504772822240e+06,8.7522481086418848e+05
2451590,1.8911404321235907e+08,8.9440354101944655e+07,3.5926121406289913e+07,-8.6889784645844821e+05,1.8489736853432029e+06,8.7158736397536774e+05
