julian_date,x,y,z,vx,vy,vz
2451546,2.0707026485087639e+08,1.8790742530218121e+06,-4.7222499392020945e+06,7.8405198657345274e+04,2.0654051387782595e+06,9.4524696288054762e+05
2451547,2.0713725010498753e+08,3.9443177524547242e+06,-3.7767683663984481e+06,5.5568505698205307e+04,2.0650441500073373e+06,9.4569879980969464e+05
2451548,2.0718140877391046e+08,6.0090872306212038e+06,-2.8308870746270493e+06,3.2752547079950127e+04,2.0644571953967747e+06,9.4604643226626702e+05
2451549,2.0720276314548063e+08,8.0731570261439253e+06,-1.8847101707169057e+06,9.9604268612246669e+03,2.0636448908640211e+06,9.4629005882403685e+05
2451550,2.0720133860266149e+08,1.0136302114463935e+07,-9.3834155309513095e+05,-1.2804768899222887e+04,2.0626078940503090e+06,9.4642989768096909e+05
2451551,2.0717716360513178e+08,1.2198298149327612e+07,8.1151077397933695e+03,-3.5539972965345209e+04,2.0613469038443938e+06,9.4646618646302563e+05
2451552,2.0713026967005798e+08,1.4258921503789658e+07,9.5455638854479743e+05,-5.8242137730682123e+04,2.0598626598909921e+06,9.4639918202052382e+05
2451553,2.0706069135206828e+08,1.6317949310717084e+07,1.9008791324517373e+06,-8.0908236008942942e+04,2.0581559420844067e+06,9.4622916021725803e+05
2451554,2.0696846622244379e+08,1.8375159502779633e+07,2.8469804678725004e+06,-1.0353526180791874e+05,2.0562275700478442e+06,9.4595641571260884e+05
2451555,2.0685363484754473e+08,2.0430330851912562e+07,3.7927578271828052e+06,-1.2612023108637704e+05,2.0540784025989214e+06,9.4558126173685887e+05
2451556,2.0671624076648825e+08,2.2483243008238241e+07,4.7381089651780212e+06,-1.4866018249361237e+05,2.0517093372018817e+06,9.4510402985994401e+05
2451557,2.0655633046809533e+08,2.4533676538433559e+07,5.6829319772945400e+06,-1.7115217809134346e+05,2.0491213094070370e+06,9.4452506975386909e+05
2451558,2.0637395336712497e+08,2.6581412963530570e+07,6.6271253175905067e+06,-1.9359330405767003e+05,2.0463152922779610e+06,9.4384474894901935e+05
2451559,2.0616916177981341e+08,2.8626234796138458e+07,7.5705878164798990e+06,-2.1598067137281955e+05,2.0432922958069562e+06,9.4306345258460601e+05
2451560,2.0594201089873675e+08,3.0667925577075303e+07,8.5132186982142180e+06,-2.3831141648643574e+05,2.0400533663193362e+06,9.4218158315348043e+05
2451561,2.0569255876701573e+08,3.2706269911398783e+07,9.4549175981062837e+06,-2.6058270196617985e+05,2.0365995858670499e+06,9.4119956024155847e+05
2451562,2.0542086625188121e+08,3.4741053503825381e+07,1.0395584579490852e+07,-2.8279171712743485e+05,2.0329320716121928e+06,9.4011782026209345e+05
2451563,2.0512699701761967e+08,3.6772063193528257e+07,1.1335120150417034e+07,-3.0493567864392413e+05,2.0290519752009355e+06,9.3893681618504447e+05
2451564,2.0481101749791741e+08,3.8799086988304541e+07,1.2273425280067733e+07,-3.2701183113907510e+05,2.0249604821284227e+06,9.3765701726177917e+05
2451565,2.0447299686762336e+08,4.0821914098103136e+07,1.3210401414901556e+07,-3.4901744775797898e+05,2.0206588110951674e+06,9.3627890874535707e+05
2451566,2.0411300701394948e+08,4.2840334967905007e+07,1.4145950494512899e+07,-3.7094983071981749e+05,2.0161482133554954e+06,9.3480299160663947e+05
2451567,2.0373112250712875e+08,4.4854141309948042e+07,1.5079974967206139e+07,-3.9280631185064797e+05,2.0114299720585677e+06,9.3322978224646475e+05
2451568,2.0332742057055002e+08,4.6863126135289580e+07,1.6012377805280181e+07,-4.1458425309645815e+05,2.0065054015825279e+06,9.3155981220414164e+05
2451569,2.0290198105039054e+08,4.8867083784700170e+07,1.6943062520019963e+07,-4.3628104701404925e+05,2.0013758468637692e+06,9.2979362786334031e+05
2451570,2.0245488638476449e+08,5.0865809958881237e+07,1.7871933176390767e+07,-4.5789411725358665e+05,1.9960426827119787e+06,9.2793179014988604e+05
2451571,2.0198622157240331e+08,5.2859101748000011e+07,1.8798894407431796e+07,-4.7942091899926582e+05,1.9905073131379348e+06,9.2597487423719140e+05
2451572,2.0149607414090520e+08,5.4846757660546564e+07,1.9723851428351745e+07,-5.0085893940690061e+05,1.9847711706593665e+06,9.2392346923872444e+05
2451573,2.0098453411455148e+08,5.6828577651492693e+07,2.0646710050314609e+07,-5.2220569802135968e+05,1.9788357156065851e+06,9.2177817790053028e+05
2451574,2.0045169398171985e+08,5.8804363149757504e+07,2.1567376693918571e+07,-5.4345874716897425e+05,1.9727024354277644e+06,9.1953961629344919e+05
2451575,1.9989764866191456e+08,6.0773917084976174e+07,2.2485758402365830e+07,-5.6461567233055877e+05,1.9663728439900391e+06,9.1720841350273602e+05
2451576,1.9932249547243378e+08,6.2737043913567975e+07,2.3401762854320891e+07,-5.8567409249512048e+05,1.9598484808772090e+06,9.1478521131548390e+05
2451577,1.9872633409469235e+08,6.4693549644100666e+07,2.4315298376455337e+07,-6.0663166049432149e+05,1.9531309106847686e+06,9.1227066390623467e+05
2451578,1.9810926654021990e+08,6.6643241861948870e+07,2.5226273955677465e+07,-6.2748606331775954e+05,1.9462217223129552e+06,9.0966543752111914e+05
2451579,1.9747139711635342e+08,6.8585929753244713e+07,2.6134599251045447e+07,-6.4823502240912663e+05,1.9391225282584431e+06,9.0697021016085043e+05
2451580,1.9681283239164284e+08,7.0521424128119782e+07,2.7040184605363052e+07,-6.6887629394330911e+05,1.9318349639052826e+06,9.0418567126285937e+05
2451581,1.9613368116098925e+08,7.2449537443237901e+07,2.7942941056457166e+07,-6.8940766908449866e+05,1.9243606868156381e+06,9.0131252138285106e+05
2451582,1.9543405441053453e+08,7.4370083823618665e+07,2.8842780348136697e+07,-7.0982697422538477e+05,1.9167013760208413e+06,8.9835147187602229e+05
2451583,1.9471406528232089e+08,7.6282879083752498e+07,2.9739614940832630e+07,-7.3013207120751461e+05,1.9088587313132472e+06,8.9530324457817618e+05
2451584,1.9397382903873992e+08,7.8187740748008072e+07,3.0633358021919217e+07,-7.5032085752291663e+05,1.9008344725393448e+06,8.9216857148694305e+05
2451585,1.9321346302678880e+08,8.0084488070333719e+07,3.1523923515716542e+07,-7.7039126649709756e+05,1.8926303388945521e+06,8.8894819444330409e+05
2451586,1.9243308664215326e+08,8.1972942053254560e+07,3.2411226093174826e+07,-7.9034126745354396e+05,1.8842480882200920e+06,8.8564286481360218e+05
2451587,1.9163282129313481e+08,8.3852925466167837e+07,3.3295181181241058e+07,-8.1016886585987476e+05,1.8756894963023341e+06,8.8225334317221004e+05
2451588,1.9081279036444125e+08,8.5724262862938777e+07,3.4175704971908696e+07,-8.2987210345582163e+05,1.8669563561749610e+06,8.7878039898501977e+05
2451589,1.8997311918085796e+08,8.7586780598800421e+07,3.5052714430951327e+07,-8.4944905836323148e+05,1.8580504774243031e+06,8.7522481029390474e+05
2451590,1.8911393497081834e+08,8.9440306846560299e+07,3.5926127306341365e+07,-8.6889784517832217e+05,1.8489736854981778e+06,8.7158736340230855e+05
2451591,1.8823536682989040e+08,9.1284671612117946e+07,3.6795862136354893e+07,-8.8821661504644796e+05,1.8397278210185484e+06,8.6786885256210121e+05
2451592,1.8733754568419760e+08,9.3119706749297068e+07,3.7661838257364146e+07,-9.0740355571966944e+05,1.8303147390983237e+06,8.6407007966185163e+05
2451593,1.8642060425379035e+08,9.4945245973996788e+07,3.8523975811318971e+07,-9.2645689159745537e+05,1.8207363086626064e+06,8.6019185391665925e+05
2451594,1.8548467701598507e+08,9.6761124877666339e+07,3.9382195752918974e+07,-9.4537488375088968e+05,1.8109944117746935e+06,8.5623499155969219e+05
2451595,1.8452990016868725e+08,9.8567180940108463e+07,4.0236419856478125e+07,-9.6415582993079082e+05,1.8010909429671527e+06,8.5220031553558679e+05
2451596,1.8355641159371421e+08,1.0036325354161635e+08,4.1086570722483784e+07,-9.8279806456020416e+05,1.7910278085782721e+06,8.4808865519586497e+05
2451597,1.8256435082013294e+08,1.0214918397445001e+08,4.1932571783852160e+07,-1.0012999587117704e+06,1.7808069260942205e+06,8.4390084599653841e+05
2451598,1.8155385898762786e+08,1.0392481545365770e+08,4.2774347311882630e+07,-1.0196599200705239e+06,1.7704302234972441e+06,8.3963772919808002e+05
2451599,1.8052507880991295e+08,1.0568999312724881e+08,4.3611822421913192e+07,-1.0378763928827334e+06,1.7598996386202432e+06,8.3530015156794921e+05
2451600,1.7947815453820157e+08,1.0744456408572447e+08,4.4444923078679882e+07,-1.0559478578914432e+06,1.7492171185080966e+06,8.3088896508588258e+05
2451601,1.7841323192474905e+08,1.0918837737097365e+08,4.5273576101383083e+07,-1.0738728322514556e+06,1.7383846187875469e+06,8.2640502665275475e+05
2451602,1.7733045818649620e+08,1.1092128398454335e+08,4.6097709168464355e+07,-1.0916498694257590e+06,1.7274041030430703e+06,8.2184919780141197e+05
2451603,1.7622998196879977e+08,1.1264313689528438e+08,4.6917250822093889e+07,-1.1092775590963219e+06,1.7162775421966584e+06,8.1722234440941829e+05
2451604,1.7511195330928200e+08,1.1435379104638562e+08,4.7732130472374544e+07,-1.1267545270300556e+06,1.7050069139013472e+06,8.1252533641757595e+05
2451605,1.7397652360180971e+08,1.1605310336180326e+08,4.8542278401264861e+07,-1.1440794349472499e+06,1.6935942019391032e+06,8.0775904755008372e+05
2451606,1.7282384556061351e+08,1.1774093275209239e+08,4.9347625766224056e+07,-1.1612509803747074e+06,1.6820413956275277e+06,8.0292435503842658e+05
2451607,1.7165407318455967e+08,1.1941714011964937e+08,5.0148104603582747e+07,-1.1782678964866668e+06,1.6703504892348340e+06,7.9802213934872672e+05
2451608,1.7046736172158727e+08,1.2108158836337349e+08,5.0943647831642717e+07,-1.1951289519338773e+06,1.6585234814032773e+06,7.9305328391265345e+05
2451609,1.6926386763332191e+08,1.2273414238275634e+08,5.1734189253509432e+07,-1.2118329506611677e+06,1.6465623745811924e+06,7.8801867486197629e+05
2451610,1.6804374855987754e+08,1.2437466908140749e+08,5.2519663559660964e+07,-1.2283787317138573e+06,1.6344691744638102e+06,7.8291920076683827e+05
2451611,1.6680716328485727e+08,1.2600303737002555e+08,5.3300006330257088e+07,-1.2447651690333632e+06,1.6222458894429882e+06,7.7775575237783184e+05
2451612,1.6555427170056385e+08,1.2761911816882339e+08,5.4075154037192382e+07,-1.2609911712423519e+06,1.6098945300659940e+06,7.7252922237194108e+05
2451613,1.6428523477343002e+08,1.2922278440941681e+08,5.4845044045897208e+07,-1.2770556814197828e+06,1.5974171085034607e+06,7.6724050510242267e+05
2451614,1.6300021450967881e+08,1.3081391103618570e+08,5.5609614616890624e+07,-1.2929576768661975e+06,1.5848156380266375e+06,7.6189049635268236e+05
2451615,1.6169937392122334e+08,1.3239237500711724e+08,5.6368804907089114e+07,-1.3086961688595959e+06,1.5720921324940322e+06,7.5648009309420653e+05
2451616,1.6038287699181503e+08,1.3395805529414038e+08,5.7122554970875375e+07,-1.3242702024022546e+06,1.5592486058475378e+06,7.5101019324860198e+05
2451617,1.5905088864344966e+08,1.3551083288296130e+08,5.7870805760931179e+07,-1.3396788559588236e+06,1.5462870716181369e+06,7.4548169545378734e+05
2451618,1.5770357470303956e+08,1.3705059077240941e+08,5.8613499128838524e+07,-1.3549212411860537e+06,1.5332095424412508e+06,7.3989549883438775e+05
2451619,1.5634110186935970e+08,1.3857721397330338e+08,5.9350577825453304e+07,-1.3699965026544908e+06,1.5200180295817987e+06,7.3425250277636165e+05
2451620,1.5496363768027666e+08,1.4009058950684735e+08,6.0081985501055732e+07,-1.3849038175624772e+06,1.5067145424690328e+06,7.2855360670590599e+05
2451621,1.5357135048026657e+08,1.4159060640256682e+08,6.0807666705281846e+07,-1.3996423954427994e+06,1.4933010882411862e+06,7.2279970987266221e+05
2451622,1.5216440938823053e+08,1.4307715569579387e+08,6.1527566886840314e+07,-1.4142114778623122e+06,1.4797796712999765e+06,7.1699171113725391e+05
2451623,1.5074298426561332e+08,1.4455013042471218e+08,6.2241632393019035e+07,-1.4286103381148742e+06,1.4661522928750024e+06,7.1113050876317907e+05
2451624,1.4930724568483278e+08,1.4600942562697116e+08,6.2949810468985781e+07,-1.4428382809079157e+06,1.4524209505980429e+06,7.0521700021307601e+05
2451625,1.4785736489802536e+08,1.4745493833587945e+08,6.3652049256887272e+07,-1.4568946420429714e+06,1.4385876380872864e+06,6.9925208194937499e+05
2451626,1.4639351380611423e+08,1.4888656757618755e+08,6.4348297794751160e+07,-1.4707787880904875e+06,1.4246543445414854e+06,6.9323664923935302e+05
2451627,1.4491586492820513e+08,1.5030421435946968e+08,6.5038506015195206e+07,-1.4844901160592225e+06,1.4106230543440429e+06,6.8717159596459521e+05
2451628,1.4342459137131563e+08,1.5170778167911443e+08,6.5722624743948184e+07,-1.4980280530605565e+06,1.3964957466770180e+06,6.8105781443486805e+05
2451629,1.4191986680044219e+08,1.5309717450493479e+08,6.6400605698186822e+07,-1.5113920559680078e+06,1.3822743951450365e+06,6.7489619520640559e+05
2451630,1.4040186540897033e+08,1.5447229977740654e+08,6.7072401484693259e+07,-1.5245816110722553e+06,1.3679609674090773e+06,6.6868762690460612e+05
2451631,1.3887076188943157e+08,1.5583306640154579e+08,6.7737965597837389e+07,-1.5375962337319728e+06,1.3535574248301180e+06,6.6243299605113384e+05
2451632,1.3732673140461177e+08,1.5717938524043486e+08,6.8397252417388529e+07,-1.5504354680207507e+06,1.3390657221225852e+06,6.5613318689541426e+05
2451633,1.3576994955901420e+08,1.5851116910840639e+08,6.9050217206160679e+07,-1.5630988863704535e+06,1.3244878070175976e+06,6.4978908125052846e+05
