julian_date,x,y,z,vx,vy,vz
2451546,-3.0138660671907447e+07,1.3190228174760549e+08,5.7220051808047399e+07,-2.5640932009125710e+06,-4.7651819678626262e+05,-2.0660734612294717e+05
2451547,-3.2698095705526564e+07,1.3140520015329579e+08,5.7004529139844157e+07,-2.5546440307008550e+06,-5.1761936511761497e+05,-2.2442687988263991e+05
2451548,-3.5247683587004319e+07,1.3086709650781675e+08,5.6771221238962628e+07,-2.5443994310704623e+06,-5.5856006399763259e+05,-2.4217684241934243e+05
2451549,-3.7786630537649274e+07,1.3028813797627807e+08,5.6520200579590268e+07,-2.5333627508310098e+06,-5.9932691202176758e+05,-2.5985143210253018e+05
2451550,-4.0314146269386560e+07,1.2966850507451358e+08,5.6251545424237959e+07,-2.5215376221428341e+06,-6.3990659009069658e+05,-2.7744487432786846e+05
2451551,-4.2829444267296046e+07,1.2900839160394073e+08,5.5965339795477413e+07,-2.5089279588692747e+06,-6.8028584708253935e+05,-2.9495142399020406e+05
2451552,-4.5331742070436895e+07,1.2830800458074628e+08,5.5661673445206799e+07,-2.4955379547991152e+06,-7.2045150552448665e+05,-3.1236536795224872e+05
2451553,-4.7820261550834209e+07,1.2756756415941030e+08,5.5340641821454726e+07,-2.4813720817498830e+06,-7.6039046724100655e+05,-3.2968102749726421e+05
2451554,-5.0294229190513209e+07,1.2678730355060248e+08,5.5002346032743506e+07,-2.4664350875614574e+06,-8.0008971895913256e+05,-3.4689276075707644e+05
2451555,-5.2752876356476508e+07,1.2596746893350008e+08,5.4646892810040191e+07,-2.4507319939882238e+06,-8.3953633784943249e+05,-3.6399496510432969e+05
2451556,-5.5195439573519558e+07,1.2510831936262286e+08,5.4274394466341771e+07,-2.4342680944847725e+06,-8.7871749695619405e+05,-3.8098207949354936e+05
2451557,-5.7621160794783831e+07,1.2421012666928047e+08,5.3884968853941642e+07,-2.4170489518937985e+06,-9.1762047053167364e+05,-3.9784858675420261e+05
2451558,-6.0029287669940643e+07,1.2327317535775924e+08,5.3478739319434457e+07,-2.3990803960172944e+06,-9.5623263922335592e+05,-4.1458901582110516e+05
2451559,-6.2419073810883567e+07,1.2229776249639058e+08,5.3055834656519607e+07,-2.3803685210602768e+06,-9.9454149512369337e+05,-4.3119794390760455e+05
2451560,-6.4789779054793477e+07,1.2128419760363811e+08,5.2616389056658491e+07,-2.3609196829284020e+06,-1.0325346466839527e+06,-4.4766999862565310e+05
2451561,-6.7140669724416971e+07,1.2023280252933386e+08,5.2160542057634555e+07,-2.3407404963521394e+06,-1.0701998235059951e+06,-4.6399986006248754e+05
2451562,-6.9471018885370359e+07,1.1914391133116975e+08,5.1688438490051381e+07,-2.3198378318095990e+06,-1.1075248810479532e+06,-4.8018226283138705e+05
2451563,-7.1780106600257799e+07,1.1801787014650509e+08,5.1200228421784043e+07,-2.2982188122307393e+06,-1.1444978052955153e+06,-4.9621199811779679e+05
