ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415034.0000000000000000,1,0,-3.0588368503181331e+07,-5.5045292423768498e+07,-2.6270204097853076e+07,2.9140348473292808e+06,-1.3796864915999675e+06,-1.0399383350653370e+06
de405,2415035.0000000000000000,1,0,-2.7629697444185156e+07,-5.6341296526152246e+07,-2.7270098762119576e+07,3.0017264754277477e+06,-1.2119071350095212e+06,-9.5946520901784603e+05
de405,2415036.0000000000000000,1,0,-2.4588070422358479e+07,-5.7468317571137212e+07,-2.8188385023629472e+07,3.0799528334469371e+06,-1.0417598667740385e+06,-8.7674324722570076e+05
de405,2415037.0000000000000000,1,0,-2.1472937881157964e+07,-5.8424103564132653e+07,-2.9022877487556022e+07,3.1487401842709356e+06,-8.6947407754185284e+05,-7.9189767413710861e+05
de405,2415038.0000000000000000,1,0,-1.8293734344196703e+07,-5.9206625111371107e+07,-2.9771511282127146e+07,3.2080939365768903e+06,-6.9526611486830469e+05,-7.0504458044572046e+05
de405,2415039.0000000000000000,1,0,-1.5059899756256187e+07,-5.9814063968591504e+07,-3.0432333724240202e+07,3.2579976878011576e+06,-5.1934245027446648e+05,-6.1629251474589144e+05
de405,2415040.0000000000000000,1,0,-1.1780901736184543e+07,-6.0244804714334302e+07,-3.1003497558761209e+07,3.2984123530818764e+06,-3.4190276846422540e+05,-5.2574404256264551e+05
de405,2415041.0000000000000000,1,0,-8.4662586673813649e+06,-6.0497429491263561e+07,-3.1483255749019600e+07,3.3292753580850628e+06,-1.6314302132255604e+05,-4.3349729321897740e+05
de405,2415042.0000000000000000,1,0,-5.1255635699586244e+06,-6.0570715801930152e+07,-3.1869957817058582e+07,3.3504998809612677e+06,1.6741509879274156e+04,-3.3964751619521558e+05
de405,2415043.0000000000000000,1,0,-1.7685087098672120e+06,-6.0463637389354110e+07,-3.2162047754512623e+07,3.3619741357700778e+06,1.9755309950884883e+05,-2.4428866997969896e+05
de405,2415044.0000000000000000,1,0,1.5950890956194354e+06,-6.0175368278094605e+07,-3.2358063548741873e+07,3.3635606968706516e+06,3.7908836374337814e+05,-1.4751506796748354e+05
de405,2415045.0000000000000000,1,0,4.9552625199061008e+06,-5.9705290098489754e+07,-3.2456638394294418e+07,3.3550958713423624e+06,5.6113489987613913e+05,-4.9423107778719947e+04
de405,2415046.0000000000000000,1,0,8.3018671715521161e+06,-5.9053002865883820e+07,-3.2456503687164880e+07,3.3363891348300762e+06,7.4346772843713942e+05,4.9886887530985208e+04
de405,2415047.0000000000000000,1,0,1.1624554516240483e+07,-5.8218339438276514e+07,-3.2356493928963751e+07,3.3072226557008596e+06,9.2584548516802851e+05,1.5030868549975756e+05
de405,2415048.0000000000000000,1,0,1.4912744381540269e+07,-5.7201383930204004e+07,-3.2155553700296942e+07,3.2673509435004038e+06,1.1080063070391507e+06,2.5172798398215690e+05
de405,2415049.0000000000000000,1,0,1.8155597192161746e+07,-5.6002494417920724e+07,-3.1852746897640951e+07,3.2165006709185434e+06,1.2896633536169594e+06,3.5402003810664266e+05
de405,2415050.0000000000000000,1,0,2.1341986140324187e+07,-5.4622330330990821e+07,-3.1447268465979252e+07,3.1543707343990146e+06,1.4704999024677246e+06,4.5704703495248815e+05
de405,2415051.0000000000000000,1,0,2.4460469570329547e+07,-5.3061884987762958e+07,-3.0938458900513351e+07,3.0806326378278485e+06,1.6501639553381735e+06,5.6065517338494805e+05
de405,2415052.0000000000000000,1,0,2.7499263952206500e+07,-5.1322523795932002e+07,-3.0325821834753312e+07,2.9949313071641778e+06,1.8282622911880328e+06,6.6467140369535773e+05
de405,2415053.0000000000000000,1,0,3.0446217940901201e+07,-4.9406028702805698e+07,-2.9609045078802999e+07,2.8968864722753740e+06,2.0043539036121294e+06,7.6889977952051035e+05
de405,2415054.0000000000000000,1,0,3.3288788170358736e+07,-4.7314649540307648e+07,-2.8788025519813940e+07,2.7860947865040908e+06,2.1779427649570256e+06,8.7311737349774980e+05
de405,2415055.0000000000000000,1,0,3.6014017622286953e+07,-4.5051162963094048e+07,-2.7862898344874423e+07,2.6621328955387715e+06,2.3484698691150900e+06,9.7706970901158964e+05
de405,2415056.0000000000000000,1,0,3.8608517644629486e+07,-4.2618939718500562e+07,-2.6834071092605799e+07,2.5245617158150738e+06,2.5153045217275689e+06,1.0804656642711242e+06
