ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2433283.0000000000000000,1,0,4.7057949207179710e+07,1.7042541531674460e+07,4.1809449170504706e+06,-2.2454726311871177e+06,3.5883660418172078e+06,2.1496538379058950e+06
de405,2433284.0000000000000000,1,0,4.4626646776985213e+07,2.0558851961955555e+07,6.3114149761922974e+06,-2.6165067669434561e+06,3.4384244418024318e+06,2.1081074593207887e+06
de405,2433285.0000000000000000,1,0,4.1827026467407294e+07,2.3907564837889217e+07,8.3906269408904072e+06,-2.9812489571686885e+06,3.2530286662665750e+06,2.0469724115609312e+06
de405,2433286.0000000000000000,1,0,3.8668050875004373e+07,2.7052920178470019e+07,1.0398551458876835e+07,-3.3342696329753753e+06,3.0316934919574950e+06,1.9654256621274655e+06
de405,2433287.0000000000000000,1,0,3.5164353379622601e+07,2.9959078059972115e+07,1.2314527544634212e+07,-3.6696825010155900e+06,2.7747696689766203e+06,1.8630432186241804e+06
de405,2433288.0000000000000000,1,0,3.1336607187774625e+07,3.2591026276804488e+07,1.4117709012145914e+07,-3.9813303950837003e+06,2.4835820508670495e+06,1.7398932022491437e+06
de405,2433289.0000000000000000,1,0,2.7211677921171326e+07,3.4915606877102934e+07,1.5787596875616454e+07,-4.2630311421672972e+06,2.1605256906494759e+06,1.5966127047099045e+06
de405,2433290.0000000000000000,1,0,2.2822505007084526e+07,3.6902609151163556e+07,1.7304635406262420e+07,-4.5088711801282577e+06,1.8090994461169525e+06,1.4344562295959652e+06
de405,2433291.0000000000000000,1,0,1.8207674566080920e+07,3.8525857864567757e+07,1.8650837688890561e+07,-4.7135243781245612e+06,1.4338607040839058e+06,1.2553046227435544e+06
de405,2433292.0000000000000000,1,0,1.3410673594567537e+07,3.9764212985061668e+07,1.9810397008528408e+07,-4.8725649059354365e+06,1.0402932117854191e+06,1.0616269772160568e+06
de405,2433293.0000000000000000,1,0,8.4788490107876547e+06,4.0602394816224277e+07,2.0770235642462593e+07,-4.9827386764003262e+06,6.3459177173704281e+05,8.5639383472749044e+05
de405,2433294.0000000000000000,1,0,3.4621302085887222e+06,4.1031558704196408e+07,2.1520444466267079e+07,-5.0421598254306214e+06,2.2338050921215789e+05,6.4294712463110301e+05
de405,2433295.0000000000000000,1,0,-1.5883965090830401e+06,4.1049566040188178e+07,2.2054575741882458e+07,-5.0504073692923496e+06,-1.8660744716180189e+05,4.2483912752589182e+05
de405,2433296.0000000000000000,1,0,-6.6219550238918550e+06,4.0660929830557898e+07,2.2369766413023453e+07,-5.0085111118546482e+06,-5.8885458532890433e+05,2.0565764010414557e+05
de405,2433297.0000000000000000,1,0,-1.1589478516838841e+07,3.9876447983245790e+07,2.2466687557564970e+07,-4.9188319464919409e+06,-9.7735357519550319e+05,-1.1143776298151004e+04
de405,2433298.0000000000000000,1,0,-1.6444843755086616e+07,3.8712569182955205e+07,2.2349333903849557e+07,-4.7848561560658179e+06,-1.3468436237397913e+06,-2.2239339026353887e+05
de405,2433299.0000000000000000,1,0,-2.1145868655530624e+07,3.7190559326189712e+07,2.2024682245859485e+07,-4.6109330410035914e+06,-1.6929710966760251e+06,-4.2531433320212009e+05
de405,2433300.0000000000000000,1,0,-2.5655032826315518e+07,3.5335547899183229e+07,2.1502256968508553e+07,-4.4019886667329045e+06,-2.0123691251315018e+06,-6.1759684429222520e+05
de405,2433301.0000000000000000,1,0,-2.9939912771484435e+07,3.3175533240007438e+07,2.0793643980124429e+07,-4.1632460250517316e+06,-2.3026619661390483e+06,-7.9742966213085048e+05
de405,2433302.0000000000000000,1,0,-3.3973350625482276e+07,3.0740415592607137e+07,1.9911991813518573e+07,-3.8999751559415418e+06,-2.5624077914147051e+06,-9.6349542082370096e+05
de405,2433303.0000000000000000,1,0,-3.7733394546172239e+07,2.8061110855386578e+07,1.8871532109577343e+07,-3.6172880718059470e+06,-2.7909975907328669e+06,-1.1149379549069374e+06
de405,2433304.0000000000000000,1,0,-4.1203059373375803e+07,2.5168779756552633e+07,1.7687143081166878e+07,-3.3199847665287144e+06,-2.9885283187939962e+06,-1.2513105428510841e+06
de405,2433305.0000000000000000,1,0,-4.4369958779884763e+07,2.2094189965334460e+07,1.6373970628789345e+07,-3.0124496053234790e+06,-3.1556662702050307e+06,-1.3725136992863598e+06
de405,2433306.0000000000000000,1,0,-4.7225856858058609e+07,1.8867214370045193e+07,1.4947113812741544e+07,-2.6985926152992160e+06,-3.2935131131655397e+06,-1.4787297239905701e+06
de405,2433307.0000000000000000,1,0,-4.9766180146092638e+07,1.5516458294425044e+07,1.3421375079667088e+07,-2.3818276194198555e+06,-3.4034830767488931e+06,-1.5703593813715193e+06
de405,2433308.0000000000000000,1,0,-5.1989522521860063e+07,1.2069001779454794e+07,1.1811071202161096e+07,-2.0650783730429744e+06,-3.4871961815399127e+06,-1.6479642401251937e+06
de405,2433309.0000000000000000,1,0,-5.3897166699746139e+07,8.5502396833814830e+06,1.0129898185106851e+07,-1.7508043186282509e+06,-3.5463895067297509e+06,-1.7122166083061944e+06
de405,2433310.0000000000000000,1,0,-5.5492638224279732e+07,4.9838014660699489e+06,8.3908421045029461e+06,-1.4410387387702444e+06,-3.5828464090775475e+06,-1.7638577684505659e+06
de405,2433311.0000000000000000,1,0,-5.6781301350780591e+07,1.3915333258946761e+06,6.6061275974932108e+06,-1.1374335404252803e+06,-3.5983422898880783e+06,-1.8036643619310316e+06
de405,2433312.0000000000000000,1,0,-5.7770001172350250e+07,-2.2064728416832481e+06,4.7871961616651639e+06,-8.4130635935875028e+05,-3.5946048002736904e+06,-1.8324222435002059e+06
de405,2433313.0000000000000000,1,0,-5.8466752707186930e+07,-5.7918169247679580e+06,2.9447072554201535e+06,-5.5368697017452400e+05,-3.5732861154137901e+06,-1.8509068537241940e+06
de405,2433314.0000000000000000,1,0,-5.8880475198378801e+07,-9.3477054046716057e+06,1.0885562019239566e+06,-2.7536105190098414e+05,-3.5359449424814577e+06,-1.8598690645793162e+06
de405,2433315.0000000000000000,1,0,-5.9020768358468331e+07,-1.2858852141468136e+07,-7.7209606084739557e+05,-6.9101799025334658e+03,-3.4840361320095398e+06,-1.8600254777822406e+06
de405,2433316.0000000000000000,1,0,-5.8897726478248090e+07,-1.6311371791866997e+07,-2.6287853627822469e+06,2.5125248653852558e+05,-3.4189060498710978e+06,-1.8520522467541462e+06
de405,2433317.0000000000000000,1,0,-5.8521786008902438e+07,-1.9692670828145236e+07,-4.4737019267290216e+06,4.9885093856201373e+05,-3.3417921776435426e+06,-1.8365816161024955e+06
de405,2433318.0000000000000000,1,0,-5.7903602253339387e+07,-2.2991339745733224e+07,-6.2996456053011455e+06,7.3571932392917504e+05,-3.2538257072170218e+06,-1.8142005039105685e+06
de405,2433319.0000000000000000,1,0,-5.7053951039919108e+07,-2.6197048949313566e+07,-8.0999804877530821e+06,9.6177891566667764e+05,-3.1560361621645498e+06,-1.7854505779907801e+06
de405,2433320.0000000000000000,1,0,-5.5983651607642911e+07,-2.9300449956928000e+07,-9.8685901441720314e+06,1.1770186514402784e+06,-3.0493573058661199e+06,-1.7508293901995658e+06
de405,2433321.0000000000000000,1,0,-5.4703507342059024e+07,-3.2293082918535613e+07,-1.1599834388190690e+07,1.3814788219884785e+06,-2.9346337837744914e+06,-1.7107922298842324e+06
de405,2433322.0000000000000000,1,0,-5.3224261423100255e+07,-3.5167290970884837e+07,-1.3288508142141789e+07,1.5752374907280756e+06,-2.8126280974392756e+06,-1.6657544381587137e+06
de405,2433323.0000000000000000,1,0,-5.1556564853171505e+07,-3.7916141609548479e+07,-1.4929802764168276e+07,1.7583992507044566e+06,-2.6840276256685522e+06,-1.6160939900982345e+06
de405,2433324.0000000000000000,1,0,-4.9710954710754193e+07,-4.0533355021670155e+07,-1.6519270030918598e+07,1.9310859600302498e+06,-2.5494514987456510e+06,-1.5621542039292201e+06
de405,2433325.0000000000000000,1,0,-4.7697840814037755e+07,-4.3013239164730392e+07,-1.8052788849712066e+07,2.0934291365630785e+06,-2.4094572000097409e+06,-1.5042464769301943e+06
de405,2433326.0000000000000000,1,0,-4.5527499278153442e+07,-4.5350631277639814e+07,-1.9526534690126225e+07,2.2455637328037648e+06,-2.2645468199026450e+06,-1.4426529790652886e+06
de405,2433327.0000000000000000,1,0,-4.3210071709167555e+07,-4.7540845455110423e+07,-2.0936951668434698e+07,2.3876230504338332e+06,-2.1151729246692653e+06,-1.3776292591701245e+06
de405,2433328.0000000000000000,1,0,-4.0755569000618249e+07,-4.9579625892495170e+07,-2.2280727182513151e+07,2.5197345892326594e+06,-1.9617440284865364e+06,-1.3094067363778639e+06
de405,2433329.0000000000000000,1,0,-3.8173878887515657e+07,-5.1463105406965859e+07,-2.3554768974483419e+07,2.6420166567212967e+06,-1.8046296764735291e+06,-1.2381950627310800e+06
de405,2433330.0000000000000000,1,0,-3.5474776572182134e+07,-5.3187768855175495e+07,-2.4756184489429876e+07,2.7545755926354141e+06,-1.6441651588494270e+06,-1.1641843526512869e+06
de405,2433331.0000000000000000,1,0,-3.2667937869885251e+07,-5.4750421092389062e+07,-2.5882262397915214e+07,2.8575034863773915e+06,-1.4806558850498376e+06,-1.0875472819984783e+06
de405,2433332.0000000000000000,1,0,-2.9762954433476351e+07,-5.6148159149838246e+07,-2.6930456155436095e+07,2.9508762862390536e+06,-1.3143814521113303e+06,-1.0084410645337896e+06
de405,2433333.0000000000000000,1,0,-2.6769350708413359e+07,-5.7378348343202837e+07,-2.7898369481692936e+07,3.0347522168018417e+06,-1.1455994450225225e+06,-9.2700931723755458e+05
de405,2433334.0000000000000000,1,0,-2.3696602345439661e+07,-5.8438602063904122e+07,-2.8783743655378882e+07,3.1091704359190194e+06,-9.7454900872252358e+05,-8.4338382855138369e+05
