julian_date,x,y,z,vx,vy,vz
2451546,-1.0836135778448237e+08,-1.0082762263267752e+07,2.2942739063371387e+06,2.0524152898889530e+05,-2.7607730828967909e+06,-1.2549710458380647e+06
2451547,-1.0811367669118486e+08,-1.2839337343048677e+07,1.0385056455662008e+06,2.9008164831156732e+05,-2.7520141998553174e+06,-1.2563997536607813e+06
2451548,-1.0778128378541124e+08,-1.5586066497866476e+07,-2.1819415773809981e+05,3.7465388642458938e+05,-2.7410828802981093e+06,-1.2568341589312486e+06
2451549,-1.0736448069084887e+08,-1.8320782526524268e+07,-1.4748314208726194e+06,4.5889082033262600e+05,-2.7279898876786707e+06,-1.2562748370028094e+06
2451550,-1.0686363625889659e+08,-2.1041329867046934e+07,-2.7304130428427625e+06,5.4272542698606092e+05,-2.7127477342565898e+06,-1.2547231753043390e+06
2451551,-1.0627918614071581e+08,-2.3745566337041538e+07,-3.9839477144106589e+06,6.2609113915487682e+05,-2.6953706639531655e+06,-1.2521813691632771e+06
2451552,-1.0561163230381383e+08,-2.6431364856160581e+07,-5.2344467236019541e+06,7.0892190048144874e+05,-2.6758746337078605e+06,-1.2486524169022385e+06
2451553,-1.0486154249400648e+08,-2.9096615149188705e+07,-6.4809247559521701e+06,7.9115221966210089e+05,-2.6542772933747703e+06,-1.2441401142236667e+06
2451554,-1.0402954964365271e+08,-3.1739225428308751e+07,-7.7224006887863185e+06,8.7271722371136979e+05,-2.6305979641930121e+06,-1.2386490478948522e+06
2451555,-1.0311635122710815e+08,-3.4357124053153366e+07,-8.9578983788449168e+06,9.5355271025479399e+05,-2.6048576158939800e+06,-1.2321845887582279e+06
2451556,-1.0212270856438498e+08,-3.6948261167286865e+07,-1.0186447442584096e+07,1.0335951988146055e+06,-2.5770788424613629e+06,-1.2247528840718158e+06
2451557,-1.0104944607404979e+08,-3.9510610309801668e+07,-1.1407084028492665e+07,1.1127819810420349e+06,-2.5472858366090516e+06,-1.2163608492062106e+06
2451558,-9.9897450476431414e+07,-4.2042170000767373e+07,-1.2618851580790522e+07,1.1910511698587034e+06,-2.5155043630152014e+06,-1.2070161587129328e+06
2451559,-9.8667669948248416e+07,-4.4540965299310848e+07,-1.3820801593888626e+07,1.2683417474698245e+06,-2.4817617303582435e+06,-1.1967272367823969e+06
2451560,-9.7361113229801893e+07,-4.7005049333153203e+07,-1.5011994357009761e+07,1.3445936122151178e+06,-2.4460867622024436e+06,-1.1855032471107498e+06
2451561,-9.5978848685911670e+07,-4.9432504798476934e+07,-1.6191499688388698e+07,1.4197476242257582e+06,-2.4085097667808048e+06,-1.1733540821950771e+06
2451562,-9.4522003321804941e+07,-5.1821445429044694e+07,-1.7358397658489939e+07,1.4937456498580696e+06,-2.3690625057232464e+06,-1.1602903520766876e+06
2451563,-9.2991761755194098e+07,-5.4170017433538809e+07,-1.8511779301701073e+07,1.5665306048770912e+06,-2.3277781617781539e+06,-1.1463233725524123e+06
2451564,-9.1389365145806357e+07,-5.6476400900139198e+07,-1.9650747315979864e+07,1.6380464963655381e+06,-2.2846913055755566e+06,-1.1314651528740809e+06
2451565,-8.9716110083651036e+07,-5.8738811167405456e+07,-2.0774416749953352e+07,1.7082384633360954e+06,-2.2398378614803455e+06,-1.1157283829565539e+06
2451566,-8.7973347437331140e+07,-6.0955500160577357e+07,-2.1881915676987842e+07,1.7770528160273745e+06,-2.1932550725840959e+06,-1.0991264201149216e+06
2451567,-8.6162481163724452e+07,-6.3124757692456819e+07,-2.2972385855769396e+07,1.8444370738662805e+06,-2.1449814648842355e+06,-1.0816732753516983e+06
2451568,-8.4284967080375418e+07,-6.5244912728083059e+07,-2.4044983376955189e+07,1.9103400020819292e+06,-2.0950568106994261e+06,-1.0633835992150595e+06
2451569,-8.2342311601952463e+07,-6.7314334612461299e+07,-2.5098879295477416e+07,1.9747116469584324e+06,-2.0435220913683199e+06,-1.0442726672485397e+06
