julian_date,x,y,z,vx,vy,vz
2451546,-1.0836135730078207e+08,-1.0082761797941394e+07,2.2942734280724241e+06,2.0524152287254983e+05,-2.7607730762357679e+06,-1.2549710610263774e+06
2451547,-1.0811367621357693e+08,-1.2839336871274624e+07,1.0385051523773796e+06,2.9008164224440430e+05,-2.7520141936217556e+06,-1.2563997683187702e+06
2451548,-1.0778128331384280e+08,-1.5586066020074530e+07,-2.1819466531503201e+05,3.7465388041395438e+05,-2.7410828744966127e+06,-1.2568341730476336e+06
2451549,-1.0736448022525977e+08,-1.8320782043148600e+07,-1.4748319422905771e+06,4.5889081438580959e+05,-2.7279898823133558e+06,-1.2562748505666917e+06
2451550,-1.0686363579921938e+08,-2.1041329378525570e+07,-2.7304135775439572e+06,5.4272542111028463e+05,-2.7127477293310808e+06,-1.2547231883052099e+06
2451551,-1.0627918568687588e+08,-2.3745565843815897e+07,-3.9839482618269855e+06,6.2609113335727795e+05,-2.6953706594705964e+06,-1.2521813815910241e+06
2451552,-1.0561163185572948e+08,-2.6431364358674958e+07,-5.2344472831554059e+06,7.0892189476907020e+05,-2.6758746296708738e+06,-1.2486524287471550e+06
2451553,-1.0486154205158901e+08,-2.9096614647889815e+07,-6.4809253270552307e+06,7.9115221404188010e+05,-2.6542772897855211e+06,-1.2441401254764565e+06
2451554,-1.0402954920680654e+08,-3.1739224923645191e+07,-7.7224012708423920e+06,8.7271721819010423e+05,-2.6305979610531619e+06,-1.2386490585466416e+06
2451555,-1.0311635079573098e+08,-3.4357123545575164e+07,-8.9578989712487403e+06,9.5355270483914879e+05,-2.6048576132047055e+06,-1.2321845988005688e+06
2451556,-1.0212270813836792e+08,-3.6948260657244988e+07,-1.0186448044722177e+07,1.0335951935110977e+06,-2.5770788402233589e+06,-1.2247528934966931e+06
2451557,-1.0104944565327752e+08,-3.9510609797747537e+07,-1.1407084639743719e+07,1.1127819758570187e+06,-2.5472858348225304e+06,-1.2163608580060492e+06
2451558,-9.9897450060782328e+07,-4.2042169487152368e+07,-1.2618852200525906e+07,1.1910511647983566e+06,-2.5155043616799028e+06,-1.2070161668806050e+06
2451559,-9.8667669537594840e+07,-4.4540964784585871e+07,-1.3820802221472798e+07,1.2683417425401353e+06,-2.4817617294734358e+06,-1.1967272443112275e+06
2451560,-9.7361112824010253e+07,-4.7005048817768179e+07,-1.5011994991800735e+07,1.3445936074218757e+06,-2.4460867617669343e+06,-1.1855032539945226e+06
2451561,-9.5978848284842715e+07,-4.9432504282880388e+07,-1.6191500329738500e+07,1.4197476195745438e+06,-2.4085097667929442e+06,-1.1733540884280403e+06
2451562,-9.4522002925313950e+07,-5.1821444913683258e+07,-1.7358398305745076e+07,1.4937456453542437e+06,-2.3690625061809369e+06,-1.1602903576535597e+06
2451563,-9.2991761363131076e+07,-5.4170016918856800e+07,-1.8511779954203017e+07,1.5665306005257855e+06,-2.3277781626788555e+06,-1.1463233774683871e+06
2451564,-9.1389364758016348e+07,-5.6476400386578172e+07,-1.9650747973065510e+07,1.6380464921716449e+06,-2.2846913069162983e+06,-1.1314651571248330e+06
2451565,-8.9716109699974254e+07,-5.8738810655403793e+07,-2.0774417410955518e+07,1.7082384593042596e+06,-2.2398378632577336e+06,-1.1157283865382436e+06
2451566,-8.7973347057603329e+07,-6.0955499650569841e+07,-2.1881916341235753e+07,1.7770528121619851e+06,-2.1932550747943269e+06,-1.0991264230241987e+06
2451567,-8.6162480787777081e+07,-6.3124757184874214e+07,-2.2972386522589162e+07,1.8444370701714647e+06,-2.1449814675231036e+06,-1.0816732775857062e+06
2451568,-8.4284966708035961e+07,-6.5244912223351747e+07,-2.4044984045670327e+07,1.9103399985615455e+06,-2.0950568137623330e+06,-1.0633836007714400e+06
2451569,-8.2342311233044669e+07,-6.7314334111002833e+07,-2.5098879965409324e+07,1.9747116436160626e+06,-2.0435220948502889e+06,-1.0442726681254361e+06
2451570,-8.0336070076483652e+07,-6.9331433762879163e+07,-2.6133260918568023e+07,2.0375033665514933e+06,-1.9904194631697373e+06,-1.0243563652464141e+06
2451571,-7.8267846919749454e+07,-7.1294664815884277e+07,-2.7147329726173051e+07,2.0986678760206122e+06,-1.9357922035599863e+06,-1.0036511724846086e+06
2451572,-7.6139292048847660e+07,-7.3202524741690010e+07,-2.8140305980468150e+07,2.1581592592218071e+06,-1.8796846941443384e+06,-9.8217414928736305e+05
