julian_date,x,y,z,vx,vy,vz
2451546,-1.4779454656026969e+09,-4.1861448055187831e+09,-8.6106776029582131e+08,4.5391513894814567e+05,-1.6965165827111976e+05,-1.8970513321133237e+05
2451547,-1.4774915425383275e+09,-4.1863144347241488e+09,-8.6125746081064689e+08,4.5393098890167201e+05,-1.6960675237815524e+05,-1.8969589614634126e+05
2451548,-1.4770376036266723e+09,-4.1864840190233765e+09,-8.6144715208752728e+08,4.5394683351961599e+05,-1.6956184599595828e+05,-1.8968665732108543e+05
2451549,-1.4765836488730667e+09,-4.1866535584159775e+09,-8.6163683412470233e+08,4.5396267280200537e+05,-1.6951693912540263e+05,-1.8967741673584236e+05
2451550,-1.4761296782828467e+09,-4.1868230529014645e+09,-8.6182650692041242e+08,4.5397850674886862e+05,-1.6947203176736203e+05,-1.8966817439088976e+05
2451551,-1.4756756918613474e+09,-4.1869925024793501e+09,-8.6201617047289765e+08,4.5399433536023402e+05,-1.6942712392271016e+05,-1.8965893028650532e+05
2451552,-1.4752216896139047e+09,-4.1871619071491480e+09,-8.6220582478039896e+08,4.5401015863613028e+05,-1.6938221559232078e+05,-1.8964968442296659e+05
2451553,-1.4747676715458536e+09,-4.1873312669103732e+09,-8.6239546984115732e+08,4.5402597657658590e+05,-1.6933730677706760e+05,-1.8964043680055146e+05
2451554,-1.4743136376625299e+09,-4.1875005817625408e+09,-8.6258510565341389e+08,4.5404178918162995e+05,-1.6929239747782421e+05,-1.8963118741953760e+05
2451555,-1.4738595879692690e+09,-4.1876698517051678e+09,-8.6277473221541023e+08,4.5405759645129147e+05,-1.6924748769546440e+05,-1.8962193628020288e+05
2451556,-1.4734055224714057e+09,-4.1878390767377710e+09,-8.6296434952538824e+08,4.5407339838559978e+05,-1.6920257743086177e+05,-1.8961268338282514e+05
2451557,-1.4729514411742761e+09,-4.1880082568598690e+09,-8.6315395758159006e+08,4.5408919498458429e+05,-1.6915766668489002e+05,-1.8960342872768230e+05
2451558,-1.4724973440832152e+09,-4.1881773920709805e+09,-8.6334355638225782e+08,4.5410498624827445e+05,-1.6911275545842273e+05,-1.8959417231505224e+05
2451559,-1.4720432312035580e+09,-4.1883464823706260e+09,-8.6353314592563438e+08,4.5412077217670024e+05,-1.6906784375233355e+05,-1.8958491414521300e+05
2451560,-1.4715891025406401e+09,-4.1885155277583261e+09,-8.6372272620996261e+08,4.5413655276989157e+05,-1.6902293156749613e+05,-1.8957565421844253e+05
2451561,-1.4711349580997968e+09,-4.1886845282336016e+09,-8.6391229723348570e+08,4.5415232802787848e+05,-1.6897801890478402e+05,-1.8956639253501897e+05
2451562,-1.4706807978863628e+09,-4.1888534837959762e+09,-8.6410185899444723e+08,4.5416809795069136e+05,-1.6893310576507088e+05,-1.8955712909522033e+05
2451563,-1.4702266219056737e+09,-4.1890223944449730e+09,-8.6429141149109077e+08,4.5418386253836058e+05,-1.6888819214923025e+05,-1.8954786389932479e+05
2451564,-1.4697724301630645e+09,-4.1891912601801167e+09,-8.6448095472166061e+08,4.5419962179091701e+05,-1.6884327805813571e+05,-1.8953859694761049e+05
2451565,-1.4693182226638701e+09,-4.1893600810009313e+09,-8.6467048868440080e+08,4.5421537570839125e+05,-1.6879836349266086e+05,-1.8952932824035571e+05
2451566,-1.4688639994134259e+09,-4.1895288569069438e+09,-8.6486001337755620e+08,4.5423112429081439e+05,-1.6875344845367916e+05,-1.8952005777783861e+05
2451567,-1.4684097604170668e+09,-4.1896975878976812e+09,-8.6504952879937148e+08,4.5424686753821763e+05,-1.6870853294206425e+05,-1.8951078556033751e+05
